b1.uz,82.146.36.62,False
babe.uz,62.209.128.102,True
baby.uz,192.64.147.220,False
backup.uz,91.212.89.50,True
background.uz,193.109.246.77,False
bags.uz,62.209.133.18,True
baht.uz,92.63.110.104,False
baik.uz,69.73.145.194,False
bags.uz,62.209.133.18,True
baht.uz,92.63.110.104,False
bakery.uz,69.73.145.194,False
balans.uz,91.212.89.100,True
ballet.uz,62.209.133.18,True
balon.uz,62.209.128.102,True
bamby.uz,83.221.178.247,True
bam.uz,195.158.0.162,True
banana.uz,91.212.89.100,True
banki.uz,91.212.89.70,True
bankir.uz,192.64.147.181,False
banner.uz,94.250.248.155,False
bank.uz,91.212.89.70,True
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
barakat.uz,91.212.89.7,True
banner.uz,94.250.248.155,False
barca.uz,62.209.142.206,True
barbaris.uz,81.95.237.20,True
bars.uz,37.140.192.26,False
bars.uz,37.140.192.26,False
bassein.uz,62.209.133.18,True
batik.uz,80.80.208.8,True
battles.uz,74.220.207.160,False
battle.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battery.uz,46.8.35.129,True
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
baby.uz,192.64.147.220,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
bavaria.uz,62.152.86.140,False
babe.uz,62.209.128.102,True
battles.uz,74.220.207.160,False
background.uz,193.109.246.77,False
bauer.uz,165.160.15.20,False
baxi.uz,5.9.18.110,False
bay.uz,77.222.40.115,False
backup.uz,91.212.89.50,True
bayram.uz,5.9.18.110,False
baht.uz,92.63.110.104,False
bags.uz,62.209.133.18,True
bags.uz,62.209.133.18,True
baht.uz,92.63.110.104,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
banner.uz,94.250.248.155,False
bars.uz,37.140.192.26,False
bars.uz,37.140.192.26,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
bay.uz,77.222.40.115,False
bauer.uz,165.160.15.20,False
battles.uz,74.220.207.160,False
battles.uz,74.220.207.160,False
bb.uz,217.12.82.36,True
bc.uz,217.29.118.178,True
bbc.uz,212.58.241.131,False
bcm.uz,31.170.164.132,False
bdo.uz,185.26.230.129,False
bbd.uz,91.212.89.68,True
bd.uz,178.33.88.224,False
bca.uz,62.209.128.102,True
bcc.uz,217.12.82.36,True
be1.uz,176.9.144.25,False
bdm.uz,80.80.208.8,True
bct.uz,94.158.48.2,True
bda.uz,178.208.83.17,False
bdu.uz,213.230.121.21,True
beanbag.uz,62.209.128.102,True
bearing.uz,217.29.118.22,True
beast.uz,81.95.237.17,True
bearing.uz,217.29.118.22,True
bearing.uz,217.29.118.22,True
beanbag.uz,62.209.128.102,True
beanbag.uz,62.209.128.102,True
beanbag.uz,62.209.128.102,True
beanbag.uz,62.209.128.102,True
beanbag.uz,62.209.128.102,True
bearing.uz,217.29.118.22,True
bearing.uz,217.29.118.22,True
bearing.uz,217.29.118.22,True
beat.uz,46.8.35.129,True
bearing.uz,217.29.118.22,True
beanbag.uz,62.209.128.102,True
bearing.uz,217.29.118.22,True
