ca.uz,217.107.34.50,False
cable.uz,62.209.128.102,True
cabinet.uz,62.209.128.112,True
cada.uz,91.212.89.100,True
caesar.uz,46.8.35.129,True
cafe.uz,91.212.89.70,True
cag.uz,82.146.38.205,False
cake.uz,50.87.100.245,False
calculator.uz,72.52.4.91,False
calcite.uz,46.8.35.129,True
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calendar.uz,91.212.89.16,True
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
came.uz,195.110.124.133,False
callback.uz,69.73.145.194,False
camel.uz,83.69.139.168,True
callback.uz,69.73.145.194,False
candles.uz,46.8.35.129,True
candela.uz,62.209.128.37,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
canon.uz,82.112.117.66,False
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
car.uz,62.209.128.72,True
caramel.uz,31.170.161.127,False
caravan.uz,46.249.204.102,False
carbon.uz,81.95.237.17,True
card.uz,91.219.194.29,False
care.uz,195.39.197.202,False
career.uz,46.8.35.130,True
cargo.uz,80.78.243.59,False
cas.uz,83.69.139.136,True
caspian.uz,54.235.68.241,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
castillo.uz,5.9.18.110,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
castle.uz,46.8.35.129,True
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casual.uz,83.69.139.168,True
cater.uz,66.96.162.147,False
cat.uz,50.63.114.1,False
catholic.uz,5.9.23.25,False
cats.uz,50.63.114.1,False
cats.uz,50.63.114.1,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
calls.uz,69.73.145.194,False
callback.uz,69.73.145.194,False
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
candles.uz,46.8.35.129,True
cas.uz,83.69.139.136,True
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
casting.uz,178.159.250.10,False
cats.uz,50.63.114.1,False
cats.uz,50.63.114.1,False
cb.uz,77.221.141.38,False
cc.uz,91.212.89.48,True
cbis.uz,91.212.89.100,True
cbs.uz,46.8.35.129,True
cbs.uz,46.8.35.129,True
cctv.uz,93.170.131.143,False
cco.uz,81.95.237.17,True
ccitt.uz,91.212.89.37,True
cco.uz,81.95.237.17,True
cci.uz,91.212.89.99,True
ced.uz,217.29.118.22,True
cdma.uz,87.237.233.13,True
central.uz,46.8.35.129,True
centurion.uz,91.203.194.104,False
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
ceramic.uz,91.212.89.68,True
cer.uz,217.29.120.9,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
cert.uz,91.212.89.152,True
cert.uz,91.212.89.152,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
center.uz,91.212.89.68,True
