g-p.uz,5.101.153.64,False
gadget.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gaf.uz,66.147.244.102,False
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gaga.uz,46.8.35.130,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gaga.uz,46.8.35.130,True
gal.uz,209.126.255.163,False
galactic.uz,162.243.56.113,False
gals.uz,91.231.56.14,True
gameguru.uz,91.212.89.100,True
gamer.uz,80.80.208.11,True
gamer.uz,80.80.208.11,True
gals.uz,91.231.56.14,True
game.uz,81.95.225.165,True
gamer.uz,80.80.208.11,True
gamer.uz,80.80.208.11,True
gano.uz,62.209.133.18,True
game.uz,81.95.225.165,True
gap.uz,91.212.89.70,True
gaps.uz,37.187.79.16,False
gaps.uz,37.187.79.16,False
garant.uz,81.95.237.17,True
garb.uz,178.21.20.209,False
garderob.uz,89.175.252.70,False
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garnet.uz,5.9.6.41,False
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
gars.uz,77.222.61.177,False
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
gars.uz,77.222.61.177,False
gateway.uz,81.177.141.33,False
garments.uz,91.188.128.21,True
gaz.uz,217.29.118.22,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gaga.uz,46.8.35.130,True
gadgets.uz,91.212.89.68,True
gaga.uz,46.8.35.130,True
gadgets.uz,91.212.89.68,True
gadgets.uz,91.212.89.68,True
gals.uz,91.231.56.14,True
gals.uz,91.231.56.14,True
gamer.uz,80.80.208.11,True
gamer.uz,80.80.208.11,True
gamer.uz,80.80.208.11,True
game.uz,81.95.225.165,True
gamer.uz,80.80.208.11,True
gaps.uz,37.187.79.16,False
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
gaps.uz,37.187.79.16,False
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
gars.uz,77.222.61.177,False
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
gars.uz,77.222.61.177,False
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
garments.uz,91.188.128.21,True
gaz.uz,217.29.118.22,True
gbt.uz,62.209.128.37,True
gd.uz,95.131.29.8,False
gbs.uz,92.53.112.202,False
gbs.uz,92.53.112.202,False
gb.uz,91.212.89.100,True
gdb.uz,91.212.89.7,True
ge.uz,78.110.50.145,False
gec.uz,185.56.137.5,False
geek.uz,31.170.164.49,False
geen.uz,62.209.133.18,True
geek.uz,31.170.164.49,False
gen.uz,217.29.116.177,True
generation.uz,217.29.116.177,True
genesis.uz,178.159.250.10,False
geo.uz,62.152.86.138,False
geology.uz,78.110.50.145,False
geom.uz,46.8.35.129,True
geom.uz,46.8.35.129,True
geek.uz,31.170.164.49,False
geek.uz,31.170.164.49,False
gen.uz,217.29.116.177,True
geom.uz,46.8.35.129,True
