iba.uz,217.12.82.36,True
ibc.uz,91.212.89.100,True
ias.uz,31.170.164.179,False
i7.uz,91.226.30.7,False
ib.uz,62.209.128.113,True
iat.uz,94.158.63.246,True
ibs.uz,83.69.129.8,True
ibm.uz,217.12.81.129,True
ibt.uz,80.80.208.8,True
icc.uz,62.209.128.102,True
ibragimov.uz,62.209.128.116,True
icom.uz,91.218.228.19,False
ict.uz,81.95.237.17,True
id.uz,91.212.89.9,True
ideafix.uz,92.53.125.158,False
idas.uz,5.9.18.110,False
ideas.uz,91.212.89.100,True
identity.uz,62.209.128.102,True
ideas.uz,91.212.89.100,True
idea.uz,217.29.118.22,True
ideas.uz,91.212.89.100,True
idm.uz,91.212.89.190,True
idl.uz,91.188.128.21,True
ideas.uz,91.212.89.100,True
ideas.uz,91.212.89.100,True
ideas.uz,91.212.89.100,True
ideas.uz,91.212.89.100,True
ideas.uz,91.212.89.100,True
ies.uz,91.188.128.21,True
ies.uz,91.188.128.21,True
if.uz,195.158.1.19,True
iff.uz,107.170.15.183,False
ifc.uz,91.212.89.100,True
ig.uz,193.232.92.8,False
igor.uz,127.0.0.1,False
ign.uz,46.8.35.129,True
iis.uz,62.209.128.113,True
iis.uz,62.209.128.113,True
iii.uz,77.220.204.12,True
ij.uz,217.29.118.22,True
ikram.uz,83.221.178.235,True
iii.uz,77.220.204.12,True
ikos.uz,46.8.35.129,True
ilg.uz,80.80.208.8,True
ilk.uz,62.209.128.113,True
ima.uz,91.212.89.99,True
imac.uz,46.8.35.129,True
imax.uz,94.141.64.5,True
imagine.uz,46.8.35.130,True
ilk.uz,62.209.128.113,True
imail.uz,91.196.76.7,True
imho.uz,91.212.89.68,True
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immo.uz,89.236.193.109,True
img.uz,80.80.208.37,True
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
immunity.uz,74.220.207.148,False
