l-b.uz,217.29.118.253,True
l2.uz,217.29.118.179,True
lab.uz,195.158.27.26,True
label.uz,83.69.139.168,True
labor.uz,91.212.89.72,True
labor.uz,91.212.89.72,True
labor.uz,91.212.89.72,True
labor.uz,91.212.89.72,True
lacoste.uz,72.52.10.14,False
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
lady.uz,91.109.16.97,False
lager.uz,144.76.244.78,False
lag.uz,216.239.38.21,False
lan.uz,91.212.89.90,True
lampa.uz,217.199.219.2,False
lancer.uz,91.188.128.21,True
landlord.uz,217.29.116.177,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
landmark.uz,83.69.139.168,True
lanita.uz,62.209.128.102,True
language.uz,50.87.100.245,False
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
lari.uz,46.8.35.129,True
last.uz,144.76.74.166,False
latif.uz,91.188.128.21,True
latvia.uz,212.70.165.9,False
latvija.uz,212.70.165.9,False
laundromat.uz,46.8.35.129,True
lavita.uz,62.209.128.102,True
lawyer.uz,81.95.224.152,True
labor.uz,91.212.89.72,True
labor.uz,91.212.89.72,True
labor.uz,91.212.89.72,True
labor.uz,91.212.89.72,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
ladder.uz,81.95.237.17,True
lan.uz,91.212.89.90,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
lancer.uz,91.188.128.21,True
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
language.uz,50.87.100.245,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
laptop.uz,185.56.137.4,False
lbb.uz,5.9.18.110,False
lds.uz,185.26.230.129,False
lc.uz,62.209.133.18,True
leader.uz,81.95.237.17,True
lcr.uz,66.240.194.139,False
lcr.uz,66.240.194.139,False
lds.uz,185.26.230.129,False
leader.uz,81.95.237.17,True
leader.uz,81.95.237.17,True
leader.uz,81.95.237.17,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leather.uz,89.111.178.161,False
leasing.uz,91.212.89.7,True
leader.uz,81.95.237.17,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leader.uz,81.95.237.17,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leader.uz,81.95.237.17,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leasing.uz,91.212.89.7,True
leds.uz,217.29.118.22,True
led.uz,89.175.252.70,False
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leader.uz,81.95.237.17,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
leeches.uz,83.69.139.168,True
legality.uz,62.209.133.18,True
leeches.uz,83.69.139.168,True
legality.uz,62.209.133.18,True
leeches.uz,83.69.139.168,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legion.uz,217.12.82.36,True
legality.uz,62.209.133.18,True
legal.uz,77.221.142.66,False
legality.uz,62.209.133.18,True
legrand.uz,89.175.252.66,False
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
lego.uz,171.20.33.100,False
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
legality.uz,62.209.133.18,True
