pa.uz,217.29.116.176,True
paa.uz,62.209.128.102,True
p2.uz,91.188.128.21,True
pack.uz,37.187.146.46,False
pad.uz,91.212.89.68,True
pages.uz,31.22.4.69,False
pagoda.uz,192.64.147.181,False
page.uz,92.53.114.87,False
pages.uz,31.22.4.69,False
pages.uz,31.22.4.69,False
pair.uz,66.240.194.139,False
pages.uz,31.22.4.69,False
palmera.uz,69.73.145.194,False
panda.uz,91.212.89.7,True
panasonic.uz,148.251.11.180,False
panorama.uz,91.212.89.70,True
panel.uz,188.132.179.34,False
papain.uz,176.57.209.236,False
papaya.uz,91.212.89.68,True
papain.uz,176.57.209.236,False
papaya.uz,91.212.89.68,True
papain.uz,176.57.209.236,False
papain.uz,176.57.209.236,False
papain.uz,176.57.209.236,False
papain.uz,176.57.209.236,False
papain.uz,176.57.209.236,False
papaya.uz,91.212.89.68,True
papers.uz,83.69.139.168,True
papers.uz,83.69.139.168,True
papers.uz,83.69.139.168,True
papers.uz,83.69.139.168,True
papers.uz,83.69.139.168,True
papain.uz,176.57.209.236,False
papers.uz,83.69.139.168,True
papaya.uz,91.212.89.68,True
papers.uz,83.69.139.168,True
papaya.uz,91.212.89.68,True
papers.uz,83.69.139.168,True
papaya.uz,91.212.89.68,True
papaya.uz,91.212.89.68,True
papaya.uz,91.212.89.68,True
para.uz,82.215.71.202,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parker.uz,62.209.128.113,True
parents.uz,46.8.35.129,True
parker.uz,62.209.128.113,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
paris.uz,193.232.159.144,False
parker.uz,62.209.128.113,True
parker.uz,62.209.128.113,True
parnas.uz,91.212.89.100,True
parter.uz,62.209.133.18,True
parents.uz,46.8.35.129,True
para.uz,82.215.71.202,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parker.uz,62.209.128.113,True
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parker.uz,62.209.128.113,True
parker.uz,62.209.128.113,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parker.uz,62.209.128.113,True
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
pasquale.uz,62.209.128.37,True
passport.uz,91.212.89.41,True
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patriot.uz,5.9.18.110,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patent.uz,91.212.89.99,True
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
pavilion.uz,62.209.128.102,True
pava.uz,62.209.128.102,True
paycom.uz,195.158.31.36,True
paypal.uz,72.52.10.14,False
pay.uz,216.14.208.157,False
page.uz,92.53.114.87,False
pages.uz,31.22.4.69,False
pages.uz,31.22.4.69,False
pages.uz,31.22.4.69,False
pages.uz,31.22.4.69,False
papain.uz,176.57.209.236,False
papain.uz,176.57.209.236,False
papaya.uz,91.212.89.68,True
papers.uz,83.69.139.168,True
papain.uz,176.57.209.236,False
papers.uz,83.69.139.168,True
papaya.uz,91.212.89.68,True
papain.uz,176.57.209.236,False
papaya.uz,91.212.89.68,True
papers.uz,83.69.139.168,True
papain.uz,176.57.209.236,False
papers.uz,83.69.139.168,True
papaya.uz,91.212.89.68,True
papers.uz,83.69.139.168,True
papain.uz,176.57.209.236,False
papers.uz,83.69.139.168,True
papain.uz,176.57.209.236,False
papain.uz,176.57.209.236,False
papaya.uz,91.212.89.68,True
papaya.uz,91.212.89.68,True
papers.uz,83.69.139.168,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
papers.uz,83.69.139.168,True
parents.uz,46.8.35.129,True
papaya.uz,91.212.89.68,True
para.uz,82.215.71.202,True
parker.uz,62.209.128.113,True
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parker.uz,62.209.128.113,True
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parker.uz,62.209.128.113,True
parker.uz,62.209.128.113,True
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
para.uz,82.215.71.202,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parents.uz,46.8.35.129,True
parker.uz,62.209.128.113,True
parents.uz,46.8.35.129,True
papaya.uz,91.212.89.68,True
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
parker.uz,62.209.128.113,True
paris.uz,193.232.159.144,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parker.uz,62.209.128.113,True
parker.uz,62.209.128.113,True
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parking.uz,72.52.4.91,False
parents.uz,46.8.35.129,True
parking.uz,72.52.4.91,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
patents.uz,78.140.185.225,False
pbs.uz,62.209.128.102,True
pc.uz,91.212.89.70,True
pcl.uz,62.209.128.102,True
pbs.uz,62.209.128.102,True
pca.uz,78.110.50.145,False
pda.uz,91.212.89.68,True
pdg.uz,46.8.35.129,True
pdh.uz,91.212.89.100,True
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pegas.uz,62.209.133.18,True
pekin.uz,83.69.230.64,False
pekin.uz,83.69.230.64,False
pekin.uz,83.69.230.64,False
pekin.uz,83.69.230.64,False
people.uz,195.216.243.241,False
pepsico.uz,217.29.126.198,True
perfect.uz,83.69.139.168,True
perfume.uz,91.212.89.68,True
perilla.uz,83.69.139.151,True
persona.uz,83.69.139.168,True
pet.uz,46.8.35.129,True
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pedagog.uz,192.64.147.181,False
pekin.uz,83.69.230.64,False
pekin.uz,83.69.230.64,False
pekin.uz,83.69.230.64,False
pekin.uz,83.69.230.64,False
pfl.uz,80.80.208.8,True
pft.uz,62.128.1.80,False
pf.uz,198.91.81.3,False
pg.uz,83.221.178.247,True
pgd.uz,178.63.4.166,False
pgs.uz,69.73.145.194,False
pgs.uz,69.73.145.194,False
ph.uz,46.8.35.129,True
pharm.uz,195.158.27.26,True
pharm.uz,195.158.27.26,True
pharm.uz,195.158.27.26,True
pharm.uz,195.158.27.26,True
philips.uz,161.88.243.124,False
phone.uz,91.212.89.68,True
photo.uz,188.121.60.133,False
phone.uz,91.212.89.68,True
php.uz,178.63.4.166,False
pharm.uz,195.158.27.26,True
pharm.uz,195.158.27.26,True
pharm.uz,195.158.27.26,True
pharm.uz,195.158.27.26,True
phone.uz,91.212.89.68,True
pi.uz,62.209.128.116,True
pickup.uz,46.38.56.98,False
pickwick.uz,165.160.13.20,False
pikachu.uz,205.166.76.53,False
pin.uz,216.14.208.157,False
ping.uz,80.80.208.8,True
pipe.uz,5.9.18.110,False
pipo.uz,89.184.76.197,False
pip.uz,91.212.89.68,True
pistachio.uz,62.209.128.102,True
pitu.uz,212.20.161.59,False
pix.uz,81.95.225.138,True
pizza.uz,72.34.48.156,False
pix.uz,81.95.225.138,True
pk.uz,80.80.208.8,True
pki.uz,91.212.89.100,True
plan.uz,91.219.194.2,False
planeta.uz,91.212.89.100,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
platinum.uz,82.215.65.202,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
planet.uz,91.212.89.157,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playstation.uz,91.212.89.100,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
plaza.uz,173.236.158.200,False
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
plex.uz,82.215.67.2,True
plint.uz,83.69.139.151,True
player.uz,80.80.208.36,True
plp.uz,91.212.89.100,True
plug.uz,217.29.112.217,True
plus.uz,78.47.142.188,False
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
plaza.uz,173.236.158.200,False
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
playboys.uz,80.80.208.11,True
playboys.uz,80.80.208.11,True
player.uz,80.80.208.36,True
plus.uz,78.47.142.188,False
pmp.uz,62.209.128.113,True
pnb.uz,80.80.208.8,True
poi.uz,69.195.124.98,False
point.uz,91.212.89.68,True
podium.uz,198.105.222.127,False
poker.uz,72.52.4.119,False
poker.uz,72.52.4.119,False
poker.uz,72.52.4.119,False
pokemon.uz,205.166.76.53,False
poker.uz,72.52.4.119,False
polis.uz,195.158.12.76,True
polit.uz,195.158.0.162,True
police.uz,72.52.4.119,False
polit.uz,195.158.0.162,True
polito.uz,91.212.89.100,True
polit.uz,195.158.0.162,True
police.uz,72.52.4.119,False
polit.uz,195.158.0.162,True
pop3.uz,217.29.116.200,True
popcorn.uz,178.218.201.252,True
pop.uz,217.29.116.200,True
port.uz,81.177.139.245,False
portal.uz,91.212.89.70,True
portnoy.uz,5.9.18.110,False
positive.uz,217.12.82.36,True
pos.uz,91.212.89.7,True
poker.uz,72.52.4.119,False
poker.uz,72.52.4.119,False
poker.uz,72.52.4.119,False
polit.uz,195.158.0.162,True
polit.uz,195.158.0.162,True
poker.uz,72.52.4.119,False
polit.uz,195.158.0.162,True
polit.uz,195.158.0.162,True
pos.uz,91.212.89.7,True
pr.uz,217.29.118.22,True
pq.uz,83.69.139.150,True
pragma.uz,81.95.237.17,True
premier.uz,185.8.212.113,True
press.uz,188.121.60.133,False
president.uz,91.212.89.40,True
present.uz,91.212.89.68,True
press-release.uz,83.69.139.168,True
pressa.uz,91.212.89.70,True
pretty.uz,178.218.200.71,True
prg.uz,69.73.145.194,False
prices.uz,83.69.139.174,True
prices.uz,83.69.139.174,True
prices.uz,83.69.139.174,True
prime.uz,68.178.254.120,False
prices.uz,83.69.139.174,True
prima.uz,91.212.89.100,True
printer.uz,91.212.89.70,True
printer.uz,91.212.89.70,True
printer.uz,91.212.89.70,True
printer.uz,91.212.89.70,True
printer.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
print.uz,91.212.89.70,True
prices.uz,83.69.139.174,True
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
prices.uz,83.69.139.174,True
prices.uz,83.69.139.174,True
prices.uz,83.69.139.174,True
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
print.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
printer.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printer.uz,91.212.89.70,True
printer.uz,91.212.89.70,True
printer.uz,91.212.89.70,True
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
printing.uz,91.224.140.78,False
processor.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
printing.uz,91.224.140.78,False
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
printing.uz,91.224.140.78,False
prog.uz,83.69.139.168,True
programm.uz,195.158.0.162,True
programmer.uz,92.53.112.124,False
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
product.uz,91.212.89.68,True
prolog.uz,46.29.2.50,False
prolog.uz,46.29.2.50,False
prolog.uz,46.29.2.50,False
profiles.uz,46.8.35.129,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
profiles.uz,46.8.35.129,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
profiles.uz,46.8.35.129,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
prolog.uz,46.29.2.50,False
projects.uz,185.8.212.91,True
prolong.uz,62.209.133.18,True
projects.uz,185.8.212.91,True
promo.uz,178.159.250.7,False
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promos.uz,217.29.116.177,True
property.uz,91.212.89.68,True
printing.uz,91.224.140.78,False
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
prospect.uz,216.246.124.171,False
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
protein.uz,62.209.128.113,True
provider.uz,91.212.89.70,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
provider.uz,91.212.89.70,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
provider.uz,91.212.89.70,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
prolog.uz,46.29.2.50,False
prolog.uz,46.29.2.50,False
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
provider.uz,91.212.89.70,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
promoter.uz,91.212.89.100,True
profiles.uz,46.8.35.129,True
projects.uz,185.8.212.91,True
prolog.uz,46.29.2.50,False
prolog.uz,46.29.2.50,False
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
profiles.uz,46.8.35.129,True
projects.uz,185.8.212.91,True
projects.uz,185.8.212.91,True
profiles.uz,46.8.35.129,True
projects.uz,185.8.212.91,True
profiles.uz,46.8.35.129,True
