ra.uz,217.195.193.2,False
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
rabota.uz,91.212.89.70,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
radar.uz,195.158.12.84,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
racing.uz,62.209.133.18,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
racing.uz,62.209.133.18,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radio.uz,81.95.225.138,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiation.uz,91.212.89.100,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
rafat.uz,46.8.35.129,True
radians.uz,91.212.89.68,True
raffaello.uz,62.209.128.102,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
ragnarok.uz,94.158.48.2,True
rakhimov.uz,46.8.35.129,True
ramel.uz,83.69.230.16,False
rancho.uz,5.45.121.138,False
rasulov.uz,217.29.118.22,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
racing.uz,62.209.133.18,True
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
racing.uz,62.209.133.18,True
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
racing.uz,62.209.133.18,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radians.uz,91.212.89.68,True
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
radiator.uz,5.9.18.110,False
