s-link.uz,178.159.252.4,False
safari.uz,203.124.103.1,False
saf.uz,94.141.74.6,True
safe.uz,178.159.250.7,False
safety.uz,5.9.18.110,False
saida.uz,173.236.158.200,False
sal.uz,195.216.243.242,False
saint-gobain.uz,185.26.230.137,False
sak.uz,62.209.128.113,True
salada.uz,62.209.133.18,True
sale.uz,91.212.89.70,True
salom.uz,77.222.61.141,False
salon.uz,141.8.192.215,False
salomon.uz,81.92.80.56,False
salsa.uz,89.175.252.70,False
salsa.uz,89.175.252.70,False
salute.uz,62.209.128.102,True
salsa.uz,89.175.252.70,False
salsa.uz,89.175.252.70,False
sam.uz,91.212.89.100,True
sambo.uz,176.57.209.123,False
samir.uz,62.209.133.18,True
samina.uz,91.212.89.7,True
samo.uz,5.9.125.254,False
sambo.uz,176.57.209.123,False
sammi.uz,185.8.212.34,True
sams.uz,62.209.133.18,True
samp.uz,217.29.117.232,True
samet.uz,46.8.35.129,True
san.uz,62.209.128.116,True
samsa.uz,46.8.35.129,True
sanada.uz,62.209.128.113,True
sanar.uz,78.110.50.145,False
samsung.uz,211.45.27.202,False
sambo.uz,176.57.209.123,False
sambo.uz,176.57.209.123,False
sandoz.uz,164.109.56.169,False
sams.uz,62.209.133.18,True
sandra.uz,46.38.56.98,False
sanita.uz,62.209.128.113,True
sao.uz,91.212.180.198,True
sapient.uz,216.250.61.65,False
sapphire.uz,91.196.76.190,True
sas.uz,91.212.89.100,True
sat.uz,78.108.80.63,False
sau.uz,91.212.89.99,True
satu.uz,195.39.197.202,False
sauna.uz,77.222.40.148,False
sauna.uz,77.222.40.148,False
sauna.uz,77.222.40.148,False
sauna.uz,77.222.40.148,False
sava.uz,91.212.89.100,True
savio.uz,46.8.35.129,True
savu.uz,91.212.89.100,True
say.uz,77.222.61.141,False
salsa.uz,89.175.252.70,False
salsa.uz,89.175.252.70,False
salsa.uz,89.175.252.70,False
salsa.uz,89.175.252.70,False
sam.uz,91.212.89.100,True
sambo.uz,176.57.209.123,False
sambo.uz,176.57.209.123,False
sambo.uz,176.57.209.123,False
sambo.uz,176.57.209.123,False
san.uz,62.209.128.116,True
sas.uz,91.212.89.100,True
sauna.uz,77.222.40.148,False
sauna.uz,77.222.40.148,False
sauna.uz,77.222.40.148,False
sauna.uz,77.222.40.148,False
sbc.uz,192.254.189.43,False
sb.uz,173.236.158.200,False
sbs.uz,94.158.54.151,True
sbs.uz,94.158.54.151,True
scale.uz,83.69.139.136,True
schiedel.uz,165.160.15.20,False
schiller.uz,217.29.116.177,True
schneeberger.uz,212.114.33.35,False
school.uz,91.212.89.100,True
schott.uz,185.26.230.129,False
school.uz,91.212.89.100,True
school.uz,91.212.89.100,True
school.uz,91.212.89.100,True
sci.uz,83.69.129.17,True
scinet.uz,83.69.129.8,True
script.uz,195.39.197.202,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scrc.uz,195.158.0.162,True
school.uz,91.212.89.100,True
sci.uz,83.69.129.17,True
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
scripts.uz,72.52.4.119,False
sds.uz,91.212.89.100,True
sds.uz,91.212.89.100,True
sdm.uz,91.212.89.68,True
sdt.uz,91.188.128.21,True
search.uz,91.212.89.100,True
sebo.uz,91.212.180.198,True
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
security.uz,91.218.228.26,False
sector.uz,174.121.64.66,False
security.uz,91.218.228.26,False
