vak.uz,5.9.23.25,False
vakant.uz,46.8.35.129,True
valley.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
vale.uz,54.225.228.182,False
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
vanna.uz,91.188.128.21,True
vap.uz,46.8.35.129,True
varn.uz,62.209.128.102,True
vas.uz,80.80.213.195,True
vatan.uz,77.222.40.115,False
vaz.uz,217.29.118.22,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
vbs.uz,91.212.89.100,True
vbs.uz,91.212.89.100,True
vb.uz,81.177.141.229,False
vdm.uz,46.8.35.129,True
vega.uz,91.212.89.7,True
vector.uz,78.110.50.145,False
ved.uz,62.209.128.112,True
vela.uz,81.95.237.17,True
veld.uz,62.209.128.102,True
vela.uz,81.95.237.17,True
veld.uz,62.209.128.102,True
vella.uz,69.73.145.194,False
velo.uz,72.52.4.120,False
venu.uz,203.27.227.220,False
vendor.uz,144.76.202.10,False
vent.uz,91.212.89.7,True
verbatim.uz,5.9.248.145,False
verbatim.uz,5.9.248.145,False
verify.uz,81.95.229.66,True
verizon.uz,164.109.37.225,False
versus.uz,62.209.128.113,True
vers.uz,141.138.201.52,False
vers.uz,141.138.201.52,False
veteran.uz,91.212.89.100,True
veterinar.uz,69.73.144.6,False
vela.uz,81.95.237.17,True
veld.uz,62.209.128.102,True
veld.uz,62.209.128.102,True
vela.uz,81.95.237.17,True
vers.uz,141.138.201.52,False
vers.uz,141.138.201.52,False
vg.uz,62.109.1.206,False
vh.uz,80.80.208.8,True
via.uz,217.29.118.213,True
vialle.uz,62.209.128.112,True
viano.uz,46.8.35.129,True
video.uz,91.212.89.70,True
vig.uz,195.212.98.154,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
vignette.uz,217.19.248.132,False
villas.uz,5.57.16.220,False
viki.uz,31.220.16.38,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
vino.uz,91.227.16.12,False
vino.uz,91.227.16.12,False
viol.uz,83.221.178.223,True
viol.uz,83.221.178.223,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
vip.uz,209.140.29.192,False
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virtue.uz,83.69.139.168,True
virology.uz,195.158.27.26,True
visage.uz,46.8.35.129,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
vision.uz,195.216.243.44,False
vista.uz,91.212.89.100,True
virology.uz,195.158.27.26,True
vita.uz,91.218.228.26,False
vitamin.uz,92.53.96.220,False
vitek.uz,78.111.80.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivat.uz,83.69.139.168,True
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
via.uz,217.29.118.213,True
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
vino.uz,91.227.16.12,False
viol.uz,83.221.178.223,True
vino.uz,91.227.16.12,False
vip.uz,209.140.29.192,False
viol.uz,83.221.178.223,True
villas.uz,5.57.16.220,False
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
virology.uz,195.158.27.26,True
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
virology.uz,195.158.27.26,True
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vlad.uz,178.157.81.153,False
vogue.uz,165.160.15.20,False
vn.uz,116.193.77.198,False
vo.uz,193.109.247.236,False
vnl.uz,91.109.16.97,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
voice.uz,62.209.128.102,True
volleyball.uz,83.69.139.168,True
volkov.uz,176.9.144.25,False
volvo.uz,193.183.228.75,False
voris.uz,195.158.28.146,True
vos.uz,109.233.56.76,False
voronov.uz,66.96.147.120,False
vox.uz,66.147.244.193,False
vov.uz,91.212.89.100,True
vox.uz,66.147.244.193,False
vrc.uz,69.73.181.240,False
vse.uz,67.18.185.250,False
vr.uz,62.209.128.116,True
vps.uz,91.212.89.68,True
vu.uz,91.212.89.100,True
vto.uz,46.8.35.129,True
vt.uz,69.73.145.194,False
vz.uz,83.221.178.247,True
vx.uz,62.209.128.37,True
vw.uz,194.114.32.119,False
vvs.uz,91.212.89.144,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
vakant.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
vak.uz,5.9.23.25,False
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
vale.uz,54.225.228.182,False
valley.uz,46.8.35.129,True
valuation.uz,192.254.184.83,False
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valuer.uz,46.8.35.129,True
valves.uz,217.12.82.36,True
valves.uz,217.12.82.36,True
vanna.uz,91.188.128.21,True
varn.uz,62.209.128.102,True
vau.uz,217.29.116.177,True
vas.uz,80.80.213.195,True
vatan.uz,77.222.40.115,False
vb.uz,81.177.141.229,False
vaz.uz,217.29.118.22,True
vdm.uz,46.8.35.129,True
vela.uz,81.95.237.17,True
vela.uz,81.95.237.17,True
veld.uz,62.209.128.102,True
veld.uz,62.209.128.102,True
vers.uz,141.138.201.52,False
vers.uz,141.138.201.52,False
ved.uz,62.209.128.112,True
vega.uz,91.212.89.7,True
vector.uz,78.110.50.145,False
veld.uz,62.209.128.102,True
vela.uz,81.95.237.17,True
velikan.uz,83.69.139.151,True
vela.uz,81.95.237.17,True
veld.uz,62.209.128.102,True
vella.uz,69.73.145.194,False
velo.uz,72.52.4.120,False
vendo.uz,91.219.194.31,False
vendor.uz,144.76.202.10,False
vent.uz,91.212.89.7,True
venu.uz,203.27.227.220,False
vers.uz,141.138.201.52,False
verbatim.uz,5.9.248.145,False
verkauf.uz,91.212.89.68,True
verify.uz,81.95.229.66,True
vernissage.uz,173.0.139.89,False
vers.uz,141.138.201.52,False
versus.uz,62.209.128.113,True
vesi.uz,83.69.139.136,True
vesti.uz,83.69.230.64,False
veteran.uz,91.212.89.100,True
veterinar.uz,69.73.144.6,False
vh.uz,80.80.208.8,True
vg.uz,62.109.1.206,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
villas.uz,5.57.16.220,False
viol.uz,83.221.178.223,True
villas.uz,5.57.16.220,False
vino.uz,91.227.16.12,False
vino.uz,91.227.16.12,False
vip.uz,209.140.29.192,False
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
viol.uz,83.221.178.223,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
virology.uz,195.158.27.26,True
vista.uz,91.212.89.100,True
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
vivendi.uz,203.27.227.220,False
